aa	AA-1007-TPA-MIA	12/01/2011 01:55 PM	12/01/2011 02:07 PM	F78	12/01/2011 03:00 PM	12/01/2011 02:57 PM	D5
flightexplorer	AA-1007-TPA-MIA		12/1/2011 2:07PM EST			12/1/2011 2:51PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/1/11 2:06 PM (-05:00)			12/1/11 2:51 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/1/11 2:06 PM (-05:00)			12/1/11 2:51 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/1/11 2:06 PM (-05:00)			12/1/11 2:51 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/1/11 2:06 PM (-05:00)			12/1/11 2:51 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-01 02:07 PM	F78		2011-12-01 02:57 PM	D5
businesstravellogue	AA-1007-TPA-MIA		2011-12-01 02:07 PM	F78		2011-12-01 02:57 PM	D5
flylouisville	AA-1007-TPA-MIA		2011-12-01 02:07 PM	F78		2011-12-01 02:57 PM	D5
flightview	AA-1007-TPA-MIA		2:07 PMDec 01			2:57 PMDec 01	
panynj	AA-1007-TPA-MIA		2:07 PMDec 01			2:57 PMDec 01	
gofox	AA-1007-TPA-MIA		2:07 PMDec 01			2:57 PMDec 01	
foxbusiness	AA-1007-TPA-MIA		2:07 PMDec 01			2:57 PMDec 01	
allegiantair	AA-1007-TPA-MIA		2:07 PMDec 01			2:57 PMDec 01	
boston	AA-1007-TPA-MIA		2:07 PMDec 01			2:49 PMDec 01	
travelocity	AA-1007-TPA-MIA	Dec 01 - 1:55pm	Dec 01 - 1:57pm	F78	Dec 01 - 3:00pm	Dec 01 - 2:57pm	D5
orbitz	AA-1007-TPA-MIA	1:55pDec 1	1:57pDec 1	 F78	3:00pDec 1	2:57pDec 1	 D5
weather	AA-1007-TPA-MIA	2011-12-01 01:55 PM			2011-12-01 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-01-11	2011-12-01  2:57P	
mytripandmore	AA-1007-TPA-MIA	1:55pDec 1	1:57pDec 1	 F78	3:00pDec 1	2:57pDec 1	 D5
flightarrival	AA-1007-TPA-MIA	2011-12-01 01:55 PM			2011-12-01 03:00 PM		
aa	AA-1518-DFW-SDF	12/01/2011 12:10 PM	12/01/2011 12:17 PM	C20	12/01/2011 03:10 PM	12/01/2011 02:57 PM	A15
flightexplorer	AA-1518-DFW-SDF		12/1/2011 12:18PM CST			12/1/2011 2:53PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/1/11 12:18 PM (-06:00)			12/1/11 2:53 PM (-05:00)	
